WDC_MOC,192.168.1.1
WDC_Test_Lab,192.168.107.1
WDC_Test_Lab_2,192.168.8.1
1111_Data_Center,192.168.38.1
Adlai_E_Stevenson,192.168.24.1
Alfred_ABenesch,192.168.166.1
Almira,192.168.254.1
Andrew_J_Rickoff,192.168.181.1
Anton_Grdina,192.168.28.1
Artemus_Ward,192.168.15.1
Carl_Shuler,192.168.80.1
Benjamin_Franklin,192.168.110.1
Bolton,192.168.116.1
Buhrer,192.168.19.1
Bratenahl,192.168.244.1
Carl_Stokes,192.168.188.1
Campus_International_High_School,192.168.18.1
Campus_International_School,10.172.64.1
Campus_Intl,192.168.230.1
Case,192.168.50.1
Central_Kitchen,192.168.86.1
Charles_A_Mooney,192.168.205.1
Charles_Dickens_,192.168.29.1
Charles_W_Eliot,192.168.41.1
Clara_E_Westropp,192.168.10.1
Clark,192.168.23.1
Cleveland_Christian_Home,10.127.15.1
Lakeside,192.168.64.1
Cleveland_School_Arts,192.168.201.1
Collinwood,192.168.102.1
Daniel_E_Morgan,192.168.238.1
Denison,192.168.126.1
Health_Careers,192.168.85.1
Dike,192.168.250.1
Douglas_MacArthur,192.168.103.1
East_Professional_Center,192.168.215.1 
East_Clark,192.168.22.1
East_Tech,192.168.218.1
Euclid_Park,192.168.31.1
Franklin_D_Roosevelt,192.168.247.1
Fullerton,192.168.177.1
Fullerton,192.168.154.1
Garfield,192.168.12.1
Garrett_Morgan,192.168.78.1
George_Washington_Carver,192.168.30.1
Margaret_Spellacy,192.168.246.1
Glenville,192.168.59.1
H_Barbara__Booker,192.168.42.1
Hannah_Gibbons,192.168.118.1
E49/Harvard_Bus_Depot,192.168.115.1
Harvey_Rice,192.168.25.1
IowaMaple,192.168.72.1
James_F_Rhodes,192.168.174.1
Jane_Addams,192.168.222.1
John_Adams,192.168.11.1
Cranwood,192.168.14.1
John_F_Kennedy,192.168.214.1
John_Hay,192.168.13.1
John_Marshall,192.168.163.1
Jones_Home,10.130.15.1
Joseph_M_Gallagher,192.168.165.1
Juvenile_Detention_Center,192.168.77.1
Kenneth_Clement, 192.168.105.1
Kentucky,192.168.183.1
Lake_Center_Bus_Depot,192.168.119.1
Lincoln_West,192.168.53.1
Louis_Agassiz,192.168.148.1
Louisa_May_Alcott,192.168.159.1
Luis_Munoz_Marin,192.168.243.1
Marion_C_Seltzer,192.168.185.1
MarionSterling,192.168.225.1
Martin_L_King,192.168.61.1
Mary_B_Martin,192.168.199.1
Mary_M_Bethune,192.168.220.1
Max_S_Hayes_,192.168.200.1
Available_for_use,192.168.231.1
Great_Lakes_Science_Ctr,192.168.27.1
Nela_Park,192.168.17.1
Available_for_use,192.168.195.1
Memorial,192.168.251.1
Metro_Health/Lincoln_West,192.168.167.1
Michael_R_White,192.168.173.1
Miles,192.168.253.1
Miles_Park,192.168.241.1
Mound,192.168.36.1
Nathan_Hale,192.168.35.1
Nathaniel_Hawthrone,192.168.240.1
Brooklawn_,192.168.164.1
Newton_D_Baker,192.168.156.1
Available_for_use,192.168.237.1
Orchard,192.168.109.1
Patrick_Henry,192.168.20.1
Paul_L_Dunbar,192.168.108.1
Available_for_use,192.168.75.1
Ridge_Road_Depot,192.168.46.1
Riverside,192.168.224.1
Robert_H_Jamison,192.168.32.1
Robinson_G_Jones,192.168.16.1
Scranton,192.168.252.1
South_High,192.168.67.1
Michael_R_white,192.168.175.1
Thomas_Jefferson,192.168.33.1
Tremont,192.168.180.1
Valley_View,192.168.104.1
Wade_Park,192.168.21.1
Walton,192.168.248.1
Warner,192.168.221.1
Washington_Park,192.168.223.1
WattersonLake,192.168.179.1
Waverly,192.168.216.1
Whitney_M_Young,192.168.162.1
Wilbur_Wright,192.168.182.1
William_Cullen_Bryant,192.168.158.1
Willow,192.168.114.1
Willson,192.168.26.1
William_Rainey_Harper,192.168.226.1
HB_Booker,192.168.227.1
Oliver_H_Perry,192.168.228.1
Sunbeam,192.168.229.1
Whitney_M_Young,192.168.232.1
