Site	S/N	MAC	M/N	Asset	Closet
Patrick Henry	Q2KW-W5VH-K94H	34:56:FE:09:F0:30	MS225-48FP-HW	1140901	MDF
Patrick Henry	Q2KW-VQVX-A7FH	34:56:FE:07:25:F8	MS225-48FP-HW	1140902	MDF
Wade Park	Q2KW-2GHK-2VCD	0C:8D:DB:51:D7:D0	MS225-48FP-HW	1140903	MDF
Wade Park	Q2KW-NA72-3TB9	0C:8D:DB:F5:B1:38	MS225-48FP-HW	1140904	IDF
Miles Park	Q2KW-J34A-HB82	0C:8D:DB:57:D4:28	MS225-48FP-HW	1140905	MDF
Miles Park	Q2KW-D9CV-7BGU	AC:17:C8:40:01:70	MS225-48FP-HW	1140906	IDF
AJ Rickoff	Q2KW-ZEFH-X7Q2	34:56:FE:07:6F:E8	MS225-48FP-HW	1140907	MDF
AJ Rickoff	Q2KW-9A89-SUPY	34:56:FE:7A:7A:E0	MS225-48FP-HW	1140908	TR1
AJ Rickoff	Q2KW-WPS9-6ATA	34:56:FE:04:58:40	MS225-48FP-HW	1140909	TR2
AJ Rickoff	Q2KW-CP5A-KQT4	0C:8D:DB:A8:5F:18	MS225-48FP-HW	1140910	TR3
John Adams	Q2KW-VGCL-CK2H	34:56:FE:06:DF:C0	MS225-48FP-HW	1140911	MDF
John Adams	Q2KW-6PFC-ZMNV	34:56:FE:0B:9D:98	MS225-48FP-HW	1140912	MDF
John Adams	Q2KW-BK8V-UZM6	34:56:FE:0C:21:80	MS225-48FP-HW	1140913	TR2B
John Adams	Q2KW-BLBA-VZLS	AC:17:C8:3F:16:F0	MS225-48FP-HW	1140914	TR2B
John Adams	Q2KW-LREP-XDXB	0C:8D:DB:F3:A0:80	MS225-48FP-HW	1140915	TR1B
John Adams	Q2KW-UZB2-NMFV	34:56:FE:7D:23:D8	MS225-48FP-HW	1140851	TR1A
John Hay	Q2KW-SJMA-XUY3	34:56:FE:79:F7:A0	MS225-48FP-HW	1140852	MC
